GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ejecutando Testing,es.uclm.esi.iso2.bc01.testingP3,problema3,3,74,2,34,1,13,3,17,1,1
Ejecutando Testing,es.uclm.esi.iso2.bc01.testingP3,cliente,5,50,0,4,2,19,0,9,0,7
